                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                0.96487,                0.62949,                 1.2389,                0.98591,                      1,                  0.995,                0.82192,                0.64203,                0.45002,                 1.1383,              0.0010496,              0.0010496,              0.0010496
                    146,                0.91958,                0.65762,                 1.2208,                0.98964,                      1,                  0.995,                 0.7921,                0.66643,                0.43536,                 1.1362,               0.001043,               0.001043,               0.001043
                    147,                 1.0322,                0.66605,                 1.2906,                0.99126,                      1,                  0.995,                0.82004,                0.64327,                0.43051,                 1.1352,              0.0010364,              0.0010364,              0.0010364
                    148,                 1.0773,                0.68083,                  1.357,                 0.9872,                      1,                  0.995,                0.80796,                0.65843,                 0.4221,                 1.1303,              0.0010298,              0.0010298,              0.0010298
                    149,                0.95479,                0.60943,                 1.2269,                0.99176,                      1,                  0.995,                0.80998,                0.75413,                0.45647,                 1.1828,              0.0010232,              0.0010232,              0.0010232
                    150,                0.97611,                0.60276,                 1.1611,                  0.992,                      1,                  0.995,                 0.8027,                0.74508,                0.48267,                   1.18,              0.0010166,              0.0010166,              0.0010166
                    151,                 1.0076,                0.69705,                 1.2734,                0.99224,                      1,                  0.995,                0.81034,                0.75871,                0.50712,                 1.1551,                0.00101,                0.00101,                0.00101
                    152,                0.89425,                0.62498,                 1.1727,                0.99327,                      1,                  0.995,                0.80019,                0.78654,                0.48884,                 1.1813,              0.0010034,              0.0010034,              0.0010034
                    153,                0.93632,                0.64701,                  1.173,                0.99162,                      1,                  0.995,                0.79751,                0.76075,                0.48001,                 1.1722,              0.0009968,              0.0009968,              0.0009968
                    154,                 0.9665,                0.65365,                  1.271,                0.98721,                      1,                  0.995,                 0.8135,                0.71816,                0.46739,                 1.1613,              0.0009902,              0.0009902,              0.0009902
                    155,                0.80057,                0.57049,                 1.1457,                0.99215,                      1,                  0.995,                0.84289,                0.68333,                0.47209,                 1.1445,              0.0009836,              0.0009836,              0.0009836
